Class,True Positives,False Positives,True Negatives,False Negatives
b'Achillea millefolium',0,9,1078,3
b'Adenostyles alliariae',0,2,1080,8
b'Aesculus hippocastanum',0,2,1082,6
b'Ajuga genevensis',0,15,1071,4
b'Albizia julibrissin',0,4,1082,4
b'Alcea rosea',0,5,1080,5
b'Allium polyanthum',0,6,1082,2
b'Allium schoenoprasum',0,8,1076,6
b'Allium sphaerocephalon',0,2,1082,6
b'Amorpha fruticosa',0,5,1080,5
b'Anacamptis champagneuxii',0,6,1081,3
b'Anacamptis laxiflora',0,6,1078,6
b'Anacamptis morio',0,9,1073,8
b'Anacamptis pyramidalis',0,5,1079,6
b'Anchusa italica',0,8,1075,7
b'Anemone alpina',0,4,1082,4
b'Anemone pulsatilla',0,4,1079,7
b'Arctium lappa',0,5,1077,8
b'Arctium minus',0,6,1080,4
b'Armeria arenaria',0,5,1075,10
b'Asparagus acutifolius',0,9,1075,6
b'Aster alpinus',0,5,1080,5
b'Astragalus monspessulanus',0,7,1077,6
b'Astrantia minor',1,6,1078,5
b'Athyrium filix-femina',0,2,1086,2
b'Ballota nigra',0,5,1079,6
b'Betonica officinalis',0,6,1079,5
b'Bistorta officinalis',0,9,1076,5
b'Calluna vulgaris',0,8,1076,6
b'Campanula scheuchzeri',0,5,1078,7
b'Capparis spinosa',0,7,1077,6
b'Carduus acanthoides',0,6,1076,8
b'Carduus carlinoides',0,4,1080,6
b'Carduus defloratus',0,7,1076,7
b'Carduus nigrescens',0,3,1080,7
b'Carduus nutans',0,6,1079,5
b'Carduus pycnocephalus',0,8,1075,7
b'Carlina corymbosa',0,6,1077,7
b'Carpobrotus edulis',0,7,1079,4
b'Carthamus lanatus',0,9,1076,5
b'Castanea sativa',0,5,1079,6
b'Catananche caerulea',0,6,1077,7
b'Centaurea aspera',0,6,1081,3
b'Centaurea calcitrapa',0,6,1079,5
b'Centaurea corymbosa',0,13,1071,6
b'Centaurea decipiens',0,8,1079,3
b'Centaurea jacea',0,6,1075,9
b'Centaurea nigra',0,4,1085,1
b'Centaurea paniculata',0,12,1072,6
b'Centaurea pectinata',0,10,1078,2
b'Centaurea scabiosa',0,2,1080,8
b'Centranthus angustifolius',0,0,1082,8
b'Chondrilla juncea',0,5,1082,3
b'Cichorium intybus',0,4,1081,5
b'Cirsium acaulon',0,3,1082,5
b'Cirsium arvense',0,3,1083,4
b'Cirsium eriophorum',0,6,1082,2
b'Cirsium palustre',0,7,1079,4
b'Cirsium vulgare',0,10,1072,8
b'Clematis flammula',0,6,1080,4
b'Corydalis solida',0,7,1078,5
b'Crepis sancta',0,2,1079,9
b'Crithmum maritimum',1,10,1076,3
b'Cyanus montanus',0,3,1084,3
b'Cyanus segetum',0,6,1078,6
b'Cymbalaria muralis',0,5,1080,5
b'Dactylorhiza fuchsii',0,9,1080,1
b'Dactylorhiza incarnata',0,22,1063,5
b'Dactylorhiza maculata',0,6,1079,5
b'Dactylorhiza majalis',0,8,1073,9
b'Dactylorhiza sambucina',0,5,1078,7
b'Dianthus armeria',0,7,1078,5
b'Dianthus gallicus',0,7,1079,4
b'Dianthus hyssopifolius',0,6,1077,7
b'Digitalis purpurea',0,5,1080,5
b'Dipsacus fullonum',0,5,1080,5
b'Dittrichia viscosa',0,4,1081,5
b'Drosera rotundifolia',0,10,1071,9
