Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',0,4,1137,6
b'Acacia dealbata',0,7,1137,3
b'Acer campestre',0,10,1130,7
b'Acer negundo',0,14,1130,3
b'Acer platanoides',0,5,1137,5
b'Acer pseudoplatanus',0,11,1133,3
b'Aconitum napellus',0,4,1137,6
b'Aesculus hippocastanum',0,4,1136,7
b'Agave americana',0,4,1134,9
b'Agave sisalana',0,7,1137,3
b'Ailanthus altissima',0,8,1134,5
b'Albizia julibrissin',0,12,1128,7
b'Alcea rosea',0,3,1138,6
b'Alnus glutinosa',0,6,1139,2
b'Amelanchier ovalis',0,5,1138,4
b'Ammophila arenaria',0,4,1138,5
b'Amorpha fruticosa',0,3,1139,5
b'Anacamptis pyramidalis',0,4,1134,9
b'Angelica sylvestris',0,6,1134,7
b'Anthericum liliago',0,4,1138,5
b'Aphyllanthes monspeliensis',1,4,1136,6
b'Arbutus unedo',0,7,1130,10
b'Armeria maritima',0,7,1134,6
b'Arundo donax',1,6,1135,5
b'Asphodelus albus',0,7,1131,9
b'Asphodelus cerasiferus',0,5,1138,4
b'Asphodelus ramosus',0,8,1132,7
b'Betula pendula',0,4,1138,5
b'Betula pubescens',0,3,1136,8
b'Betula utilis',0,4,1138,5
b'Borago officinalis',0,3,1133,11
b'Broussonetia papyrifera',0,10,1130,7
b'Carduus defloratus',0,7,1138,2
b'Carduus nutans',0,6,1137,4
b'Carduus pycnocephalus',0,7,1131,9
b'Carica papaya',0,6,1135,6
b'Carlina corymbosa',0,8,1134,5
b'Carpinus betulus',0,7,1135,5
b'Carpobrotus edulis',0,6,1136,5
b'Castanea sativa',0,2,1138,7
b'Casuarina cunninghamiana',0,7,1128,12
b'Cedrus atlantica',0,8,1133,6
b'Celtis australis',0,4,1139,4
b'Cercis siliquastrum',0,6,1133,8
b'Chondrilla juncea',0,5,1137,5
b'Cichorium intybus',0,5,1138,4
b'Cirsium palustre',0,5,1138,4
b'Citrus limon',0,6,1134,7
b'Clematis vitalba',0,3,1137,7
b'Coriaria myrtifolia',0,5,1139,3
b'Cornus mas',0,2,1141,4
b'Corylus avellana',0,10,1132,5
b'Crataegus azarolus',0,4,1137,6
b'Crataegus germanica',0,8,1132,7
b'Crataegus laevigata',0,9,1133,5
b'Crataegus monogyna',0,6,1133,8
b'Cupressus sempervirens',0,4,1136,7
b'Cyanus segetum',0,3,1141,3
b'Diospyros kaki',0,2,1143,2
b'Dipcadi serotinum',0,5,1134,8
b'Dipsacus fullonum',0,6,1136,5
b'Draba verna',0,3,1141,3
b'Echinophora spinosa',1,8,1130,8
b'Elaeagnus angustifolia',0,7,1133,7
b'Epilobium tetragonum',0,10,1127,10
b'Erica arborea',0,5,1138,4
b'Eriobotrya japonica',0,6,1135,6
b'Eriophorum angustifolium',0,2,1137,8
b'Eupatorium cannabinum',0,8,1131,8
b'Euphorbia dendroides',0,5,1135,7
b'Fagus sylvatica',0,12,1129,6
b'Ferula communis',0,7,1137,3
