Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',0,11,1063,6
b'Abies cephalonica',1,8,1068,3
b'Acacia dealbata',0,5,1070,5
b'Acer negundo',0,5,1068,7
b'Acer platanoides',0,8,1070,2
b'Acer pseudoplatanus',0,2,1075,3
b'Acer saccharinum',0,9,1064,7
b'Aconitum lycoctonum',0,15,1056,9
b'Aconitum napellus',0,0,1074,6
b'Adenostyles alliariae',0,4,1071,5
b'Aesculus hippocastanum',1,9,1061,9
b'Agave sisalana',0,8,1069,3
b'Agrimonia eupatoria',0,7,1066,7
b'Ailanthus altissima',0,7,1067,6
b'Ajuga genevensis',0,7,1068,5
b'Albizia julibrissin',0,8,1067,5
b'Ambrosia artemisiifolia',0,8,1066,6
b'Anacyclus clavatus',0,8,1066,6
b'Anchusa italica',0,6,1063,11
b'Anemone alpina',0,5,1067,8
b'Anemone pulsatilla',0,8,1069,3
b'Anemone rubra',0,5,1068,7
b'Angelica sylvestris',0,5,1070,5
b'Anthriscus sylvestris',0,9,1065,6
b'Arbutus unedo',0,6,1071,3
b'Arctium lappa',0,5,1070,5
b'Arctium minus',0,6,1067,7
b'Armeria maritima',0,12,1059,9
b'Arnica montana',0,3,1071,6
b'Astrantia major',0,1,1075,4
b'Athyrium filix-femina',0,7,1065,8
b'Bellis perennis',0,5,1066,9
b'Betula pendula',0,6,1065,9
b'Bidens pilosa',0,6,1067,7
b'Blechnum spicant',0,10,1064,6
b'Borago officinalis',0,5,1072,3
b'Bryonia cretica',0,4,1073,3
b'Buxus sempervirens',0,5,1070,5
b'Calluna vulgaris',0,5,1068,7
b'Carduus acanthoides',0,4,1069,7
b'Carduus carlinoides',0,6,1068,6
b'Carduus nigrescens',0,3,1071,6
b'Carduus nutans',0,8,1067,5
b'Carduus pycnocephalus',0,7,1066,7
b'Carica papaya',0,4,1064,12
b'Carlina acanthifolia',0,6,1067,7
b'Carlina acaulis',0,4,1073,3
b'Carlina corymbosa',0,3,1068,9
b'Carpinus betulus',0,7,1068,5
b'Castanea sativa',0,7,1069,4
b'Casuarina cunninghamiana',0,1,1075,4
b'Cedrus atlantica',0,8,1064,8
b'Centaurea decipiens',0,8,1067,5
b'Centaurea nigra',0,5,1070,5
b'Centaurea scabiosa',0,6,1070,4
b'Ceratonia siliqua',0,8,1070,2
b'Chamaerops humilis',0,8,1061,11
b'Cirsium acaulon',0,6,1065,9
b'Cirsium arvense',0,6,1069,5
b'Cirsium eriophorum',0,6,1065,9
b'Cirsium palustre',0,7,1067,6
b'Cirsium vulgare',1,7,1068,4
b'Clematis vitalba',0,3,1070,7
b'Clinopodium nepeta',0,5,1067,8
b'Clinopodium vulgare',0,5,1069,6
b'Crepis sancta',0,6,1068,6
b'Cruciata laevipes',0,3,1072,5
b'Cynoglossum creticum',0,8,1067,5
b'Dactylis glomerata',0,6,1068,6
b'Daucus carota',0,6,1066,8
b'Dipsacus fullonum',0,5,1068,7
b'Dittrichia viscosa',0,6,1062,12
b'Drosera rotundifolia',0,5,1068,7
b'Dryopteris filix-mas',0,10,1065,5
b'Echinops ritro',0,7,1068,5
b'Echium vulgare',0,4,1069,7
b'Ephedra distachya',0,1,1074,5
b'Equisetum telmateia',0,5,1072,3
b'Erigeron annuus',0,4,1069,7
b'Eriobotrya japonica',0,5,1068,7
b'Erodium cicutarium',0,4,1067,9
b'Erodium malacoides',0,10,1066,4
b'Eryngium bourgatii',0,6,1071,3
b'Eryngium campestre',0,8,1066,6
b'Eryngium spinalba',0,7,1067,6
b'Eupatorium cannabinum',0,7,1065,8
b'Euphorbia characias',0,5,1064,11
b'Euphorbia cyparissias',1,6,1068,5
b'Euphorbia nicaeensis',0,6,1067,7
b'Filipendula ulmaria',0,4,1070,6
b'Filipendula vulgaris',0,9,1069,2
b'Fraxinus excelsior',1,8,1063,8
b'Fraxinus ornus',0,5,1067,8
b'Galeopsis tetrahit',0,6,1068,6
b'Gentiana lutea',0,10,1065,5
b'Geranium robertianum',0,6,1068,6
b'Geranium sanguineum',0,4,1071,5
b'Geranium sylvaticum',0,8,1066,6
b'Geum rivale',0,12,1063,5
b'Geum urbanum',0,12,1062,6
b'Globularia alypum',0,9,1064,7
b'Globularia bisnagarica',0,5,1069,6
b'Globularia repens',0,6,1064,10
b'Gymnadenia nigra',0,8,1069,3
b'Helianthus annuus',0,4,1072,4
b'Impatiens glandulifera',0,8,1068,4
b'Jacobaea erucifolia',0,7,1069,4
b'Jacobaea vulgaris',0,4,1068,8
b'Juniperus communis',0,6,1067,7
b'Knautia arvensis',0,4,1071,5
b'Lactuca alpina',0,8,1064,8
b'Lactuca perennis',0,6,1069,5
b'Larix decidua',0,3,1071,6
b'Liquidambar styraciflua',0,4,1071,5
b'Malva setigera',0,6,1069,5
b'Malva sylvestris',0,4,1070,6
b'Mentha aquatica',0,3,1070,7
b'Mentha longifolia',0,5,1066,9
b'Morus alba',0,8,1067,5
b'Nerium oleander',0,6,1067,7
b'Ononis minutissima',0,3,1073,4
b'Onopordum acanthium',0,2,1073,5
b'Ostrya carpinifolia',0,5,1069,6
b'Parthenocissus quinquefolia',0,4,1066,10
b'Perovskia atriplicifolia',0,5,1072,3
b'Phacelia tanacetifolia',0,8,1067,5
b'Picris hieracioides',0,7,1068,5
b'Pilosella aurantiaca',0,4,1069,7
b'Pinus brutia',0,6,1072,2
b'Pinus cembra',1,9,1064,6
b'Pinus halepensis',0,3,1073,4
b'Pinus mugo',0,3,1070,7
b'Pinus nigra',0,7,1062,11
b'Pinus pinaster',0,10,1067,3
b'Pinus pinea',0,3,1073,4
b'Pinus sylvestris',0,3,1074,3
b'Platanus orientalis',0,3,1076,1
b'Platanus x',0,7,1065,8
b'Polypodium vulgare',0,8,1069,3
b'Potentilla erecta',0,8,1067,5
b'Prenanthes purpurea',0,4,1071,5
b'Prunus avium',0,6,1068,6
b'Prunus laurocerasus',0,6,1069,5
b'Prunus mahaleb',0,4,1071,5
b'Pteridium aquilinum',0,6,1065,9
