Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies cephalonica',0,5,3988,7
b'Acacia dealbata',0,5,3985,10
b'Acer monspessulanum',0,31,3945,24
b'Acer negundo',0,33,3937,30
b'Acer opalus',0,19,3962,19
b'Acer platanoides',0,29,3942,29
b'Achillea ptarmica',0,7,3987,6
b'Adonis annua',0,4,3988,8
b'Agrimonia eupatoria',0,14,3976,10
b'Ajuga reptans',0,15,3979,6
b'Allium nigrum',0,6,3984,10
b'Allium polyanthum',0,12,3980,8
b'Allium schoenoprasum',0,6,3988,6
b'Allium triquetrum',0,4,3987,9
b'Allium ursinum',0,5,3985,10
b'Alnus alnobetula',0,3,3988,9
b'Alnus glutinosa',0,47,3907,46
b'Amelanchier ovalis',0,11,3972,17
b'Amorpha fruticosa',0,11,3979,10
b'Anacamptis morio',0,6,3989,5
b'Androsace villosa',0,6,3988,6
b'Anemone alpina',0,7,3987,6
b'Anemone hepatica',0,9,3975,16
b'Anemone pulsatilla',0,1,3993,6
b'Anemone vernalis',0,7,3987,6
b'Angelica sylvestris',0,16,3977,7
b'Antennaria dioica',0,9,3985,6
b'Anthemis maritima',0,8,3985,7
b'Anthriscus sylvestris',0,9,3984,7
b'Anthyllis montana',0,6,3992,2
b'Anthyllis vulneraria',0,6,3985,9
b'Aphyllanthes monspeliensis',0,7,3984,9
b'Arbutus unedo',0,51,3887,62
b'Arctium minus',0,9,3982,9
b'Aristolochia pistolochia',0,12,3980,8
b'Aristolochia rotunda',0,9,3980,11
b'Armeria arenaria',0,6,3991,3
b'Armeria maritima',0,3,3985,12
b'Artemisia vulgaris',0,7,3985,8
b'Asparagus acutifolius',0,18,3973,9
b'Asphodelus albus',0,5,3988,7
b'Asplenium ceterach',0,8,3985,7
b'Aster alpinus',0,6,3991,3
b'Astrantia major',0,8,3985,7
b'Astrantia minor',0,7,3988,5
b'Bellis perennis',0,3,3986,11
b'Berardia lanuginosa',0,9,3987,4
b'Berberis japonica',0,6,3985,9
b'Berteroa incana',0,7,3983,10
b'Beta vulgaris',0,8,3983,9
b'Betula utilis',0,19,3967,14
b'Bistorta officinalis',0,3,3992,5
b'Borago officinalis',0,11,3976,13
b'Brassica napus',0,6,3991,3
b'Broussonetia papyrifera',1,35,3927,37
b'Bryonia cretica',0,18,3961,21
b'Buglossoides purpurocaerulea',0,6,3991,3
b'Bupleurum fruticosum',0,10,3986,4
b'Calendula officinalis',0,12,3982,6
b'Campanula glomerata',0,11,3985,4
b'Campanula latifolia',0,4,3990,6
b'Campanula medium',0,7,3988,5
b'Campanula patula',0,10,3984,6
b'Campanula rotundifolia',0,3,3993,4
b'Capparis spinosa',0,6,3987,7
b'Cardamine amara',0,5,3993,2
b'Cardamine heptaphylla',0,5,3983,12
b'Carduus acanthoides',0,9,3988,3
b'Carduus nigrescens',0,4,3991,5
b'Carduus nutans',0,1,3989,10
b'Carduus pycnocephalus',0,10,3984,6
b'Carex otrubae',0,6,3988,6
b'Carex riparia',0,5,3989,6
b'Carpinus betulus',1,39,3911,49
b'Carthamus lanatus',0,3,3988,9
b'Castanea sativa',0,47,3910,43
b'Casuarina cunninghamiana',0,6,3986,8
b'Catalpa bignonioides',0,8,3984,8
b'Catananche caerulea',0,5,3987,8
b'Cedrus atlantica',0,2,3993,5
b'Celtis australis',1,46,3909,44
b'Centaurea aspera',0,15,3975,10
b'Centaurea calcitrapa',0,8,3986,6
b'Centaurea jacea',0,7,3984,9
b'Centaurea pectinata',0,7,3986,7
b'Centaurea scabiosa',0,8,3983,9
b'Centranthus ruber',0,8,3978,14
b'Cephalanthera longifolia',0,6,3988,6
b'Cephalaria leucantha',0,7,3986,7
b'Cerastium glomeratum',0,6,3989,5
b'Cercis siliquastrum',0,34,3920,46
b'Chaenorrhinum minus',0,3,3993,4
b'Chamaerops humilis',0,5,3986,9
b'Chelidonium majus',0,12,3981,7
b'Cichorium intybus',0,18,3964,18
b'Circaea lutetiana',0,9,3984,7
b'Cirsium acaulon',0,12,3981,7
b'Cistus monspeliensis',0,6,3989,5
b'Cistus salviifolius',0,6,3984,10
b'Citrus limon',0,8,3990,2
b'Clematis vitalba',0,14,3974,12
b'Clinopodium nepeta',0,7,3986,7
b'Clinopodium vulgare',0,6,3987,7
b'Cochlearia danica',0,7,3990,3
b'Colchicum autumnale',0,6,3990,4
b'Colutea arborescens',0,5,3989,6
b'Convolvulus sepium',0,6,3985,9
b'Cornus sanguinea',0,42,3912,46
b'Corylus avellana',1,27,3933,39
