Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',0,5,1317,7
b'Acer campestre',0,6,1316,7
b'Acer monspessulanum',0,3,1317,9
b'Acer negundo',0,6,1314,9
b'Acer opalus',0,6,1318,5
b'Acer platanoides',0,9,1314,6
b'Acer pseudoplatanus',0,5,1310,14
b'Achillea millefolium',0,6,1320,3
b'Aesculus hippocastanum',0,7,1319,3
b'Agave americana',0,6,1314,9
b'Agave sisalana',0,10,1312,7
b'Agrimonia eupatoria',0,7,1314,8
b'Ailanthus altissima',1,7,1312,9
b'Albizia julibrissin',0,6,1316,7
b'Alnus glutinosa',0,7,1314,8
b'Ambrosia artemisiifolia',0,9,1312,8
b'Amelanchier ovalis',0,6,1317,6
b'Anarrhinum bellidifolium',0,8,1314,7
b'Angelica heterocarpa',0,9,1316,4
b'Angelica sylvestris',0,5,1316,8
b'Anthericum liliago',0,7,1314,8
b'Anthyllis vulneraria',0,6,1316,7
b'Arbutus unedo',0,8,1315,6
b'Artemisia vulgaris',0,4,1317,8
b'Arundo donax',0,4,1316,9
b'Berberis japonica',0,10,1313,6
b'Betula pendula',0,8,1312,9
b'Betula utilis',0,4,1321,4
b'Brassica napus',0,9,1316,4
b'Broussonetia papyrifera',0,5,1316,8
b'Buddleja davidii',0,7,1318,4
b'Buxus sempervirens',0,5,1318,6
b'Campanula rapunculus',1,5,1311,12
b'Capsella bursa-pastoris',0,5,1314,10
b'Cardamine amara',0,8,1318,3
b'Carduus pycnocephalus',0,6,1314,9
b'Carica papaya',0,5,1317,7
b'Carlina corymbosa',0,6,1320,3
b'Castanea sativa',0,11,1315,3
b'Casuarina cunninghamiana',0,5,1318,6
b'Catalpa bignonioides',0,5,1319,5
b'Cedrus atlantica',0,8,1313,8
b'Celtis australis',0,3,1323,3
b'Centaurea calcitrapa',0,10,1312,7
b'Centaurea decipiens',0,6,1319,4
b'Ceratonia siliqua',0,6,1319,4
b'Cercis siliquastrum',0,5,1312,12
b'Chenopodium album',0,5,1317,7
b'Circaea lutetiana',0,9,1316,4
b'Cirsium arvense',0,3,1321,5
b'Cirsium eriophorum',1,4,1318,6
b'Clematis vitalba',0,9,1317,3
b'Cochlearia danica',0,6,1318,5
b'Coriaria myrtifolia',0,10,1313,6
b'Cornus mas',0,4,1321,4
b'Cornus sanguinea',0,4,1318,7
b'Coronilla glauca',0,4,1321,4
b'Coronilla varia',0,6,1314,9
b'Corylus avellana',0,6,1315,8
b'Cotinus coggygria',0,5,1318,6
b'Crataegus azarolus',0,5,1315,9
b'Crataegus germanica',0,5,1323,1
b'Crataegus laevigata',0,6,1318,5
b'Crataegus monogyna',0,3,1321,5
b'Cydonia oblonga',0,5,1319,5
b'Cytisus lanigerus',0,6,1319,4
b'Datura stramonium',0,4,1315,10
b'Diospyros kaki',0,8,1318,3
b'Elaeagnus angustifolia',0,3,1321,5
b'Erica arborea',0,3,1320,6
b'Eriobotrya japonica',0,8,1315,6
b'Erodium cicutarium',0,8,1314,7
b'Euonymus europaeus',0,6,1315,8
b'Eupatorium cannabinum',0,5,1321,3
b'Euphorbia seguieriana',0,7,1314,8
b'Fagus sylvatica',0,4,1322,3
b'Feijoa sellowiana',0,5,1320,4
b'Ferula communis',0,7,1315,7
b'Ficus carica',0,5,1318,6
b'Foeniculum vulgare',0,3,1321,5
b'Frangula dodonei',0,3,1321,5
b'Fraxinus angustifolia',0,7,1313,9
b'Fraxinus excelsior',1,8,1309,11
b'Fraxinus ornus',0,2,1317,10
b'Fumaria officinalis',0,6,1319,4
b'Gentiana nivalis',0,8,1311,10
b'Geranium pyrenaicum',0,9,1316,4
b'Geranium robertianum',0,6,1318,5
b'Ginkgo biloba',0,6,1317,6
b'Glechoma hederacea',0,7,1311,11
b'Gleditsia triacanthos',0,3,1313,13
b'Heliotropium europaeum',0,4,1320,5
b'Himantoglossum hircinum',0,5,1317,7
b'Hippocrepis emerus',0,10,1316,3
b'Ilex aquifolium',0,8,1312,9
b'Jacobaea vulgaris',0,5,1320,4
b'Jasminum fruticans',0,6,1316,7
b'Juglans nigra',0,2,1321,6
b'Juglans regia',1,9,1316,3
b'Juniperus communis',0,2,1324,3
b'Juniperus oxycedrus',0,6,1319,4
b'Koelreuteria paniculata',0,7,1318,4
b'Laburnum anagyroides',0,8,1317,4
b'Larix decidua',0,5,1322,2
b'Lathyrus sylvestris',0,7,1314,8
b'Laurus nobilis',0,4,1317,8
b'Ligustrum vulgare',0,6,1320,3
b'Lilium martagon',0,8,1313,8
b'Limonium narbonense',0,4,1320,5
b'Linaria alpina',0,7,1318,4
b'Linum narbonense',0,9,1314,6
b'Liquidambar styraciflua',0,8,1315,6
b'Liriodendron tulipifera',0,7,1316,6
b'Lithospermum officinale',0,6,1317,6
b'Lonicera etrusca',0,7,1318,4
