Class,True Positives,False Positives,True Negatives,False Negatives
b'Acer campestre',0,7,1750,3
b'Acer pseudoplatanus',0,13,1737,10
b'Achillea millefolium',0,8,1746,6
b'Achillea ptarmica',0,9,1746,5
b'Aconitum lycoctonum',0,2,1754,4
b'Aegopodium podagraria',0,6,1751,3
b'Agrimonia eupatoria',0,7,1750,3
b'Ajuga chamaepitys',0,2,1755,3
b'Ajuga genevensis',0,3,1751,6
b'Ajuga iva',0,6,1749,5
b'Alcea rosea',1,7,1745,7
b'Alliaria petiolata',0,9,1745,6
b'Althaea cannabina',0,6,1749,5
b'Ambrosia artemisiifolia',0,9,1746,5
b'Ammophila arenaria',0,2,1752,6
b'Anacyclus clavatus',0,8,1749,3
b'Anchusa italica',0,10,1742,8
b'Andryala integrifolia',0,8,1748,4
b'Anemone nemorosa',0,6,1748,6
b'Anthoxanthum odoratum',0,5,1750,5
b'Anthriscus sylvestris',0,4,1750,6
b'Antirrhinum majus',0,3,1752,5
b'Arabidopsis thaliana',0,7,1746,7
b'Arctium minus',0,3,1752,5
b'Arnica montana',0,5,1749,6
b'Arum italicum',0,5,1753,2
b'Asparagus acutifolius',0,6,1746,8
b'Astrantia major',0,7,1747,6
b'Atriplex prostrata',0,3,1751,6
b'Ballota nigra',0,7,1747,6
b'Barbarea vulgaris',0,4,1749,7
b'Bellis perennis',0,5,1753,2
b'Betonica officinalis',0,6,1749,5
b'Betula pendula',0,7,1748,5
b'Bidens pilosa',0,5,1752,3
b'Blackstonia imperfoliata',0,7,1745,8
b'Borago officinalis',0,7,1745,8
b'Broussonetia papyrifera',0,8,1745,7
b'Bryonia cretica',0,6,1748,6
b'Buglossoides purpurocaerulea',0,9,1745,6
b'Calendula arvensis',0,6,1750,4
b'Campanula latifolia',0,8,1750,2
b'Campanula persicifolia',0,6,1749,5
b'Campanula rapunculus',0,5,1749,6
b'Campanula rhomboidalis',0,5,1747,8
b'Capsella bursa-pastoris',0,10,1745,5
b'Cardamine flexuosa',0,5,1748,7
b'Carduus nigrescens',0,8,1745,7
b'Carduus nutans',0,4,1753,3
b'Carduus pycnocephalus',0,4,1749,7
b'Carex flacca',0,6,1749,5
b'Carex otrubae',0,3,1753,4
b'Carlina corymbosa',0,7,1752,1
b'Castanea sativa',0,3,1754,3
b'Celtis australis',0,7,1748,5
b'Centaurea aspera',0,6,1751,3
b'Centaurea calcitrapa',0,8,1747,5
b'Centaurea corymbosa',0,6,1749,5
b'Centaurea decipiens',0,4,1749,7
b'Centaurea jacea',0,11,1744,5
b'Cerastium glomeratum',0,5,1747,8
b'Chelidonium majus',0,5,1746,9
b'Cichorium intybus',0,12,1743,5
b'Circaea lutetiana',0,6,1748,6
b'Cirsium arvense',0,7,1749,4
b'Cirsium eriophorum',0,4,1748,8
b'Cirsium palustre',0,9,1748,3
b'Cirsium vulgare',0,10,1741,9
b'Cistus monspeliensis',0,4,1751,5
b'Clematis flammula',0,6,1752,2
b'Clematis vitalba',0,5,1748,7
b'Clinopodium nepeta',0,6,1746,8
b'Clinopodium vulgare',0,8,1748,4
b'Cochlearia danica',0,5,1748,7
b'Cornus mas',0,9,1744,7
b'Corylus avellana',0,3,1754,3
b'Crepis bursifolia',0,5,1750,5
b'Crepis capillaris',0,10,1738,12
b'Crepis foetida',0,9,1747,4
b'Crepis setosa',0,4,1749,7
b'Cruciata laevipes',0,6,1749,5
b'Cucumis sativus',0,10,1747,3
b'Cyanus montanus',0,6,1745,9
b'Cyanus segetum',0,4,1751,5
b'Cytisus lanigerus',0,9,1750,1
b'Cytisus scoparius',0,8,1747,5
b'Dactylis glomerata',0,3,1755,2
b'Datura stramonium',0,10,1744,6
b'Daucus carota',0,7,1744,9
b'Dianthus carthusianorum',0,4,1753,3
b'Dianthus hyssopifolius',0,5,1753,2
b'Digitalis purpurea',0,8,1747,5
b'Diplotaxis erucoides',0,5,1748,7
b'Diplotaxis tenuifolia',0,5,1751,4
b'Dipsacus fullonum',0,4,1749,7
b'Ecballium elaterium',0,5,1749,6
b'Echinophora spinosa',0,3,1750,7
b'Echinops ritro',0,6,1751,3
b'Echium vulgare',0,3,1750,7
b'Epilobium hirsutum',0,3,1754,3
b'Equisetum telmateia',0,6,1748,6
b'Erigeron annuus',0,5,1750,5
b'Erigeron canadensis',0,6,1750,4
b'Erigeron sumatrensis',0,6,1747,7
b'Erinus alpinus',0,6,1748,6
b'Erodium ciconium',0,14,1741,5
b'Erodium cicutarium',0,7,1749,4
b'Erodium foetidum',0,6,1748,6
b'Erodium malacoides',0,4,1752,4
b'Eupatorium cannabinum',0,6,1747,7
b'Euphorbia cyparissias',0,2,1749,9
b'Euphorbia serrata',0,5,1751,4
b'Filipendula vulgaris',0,5,1744,11
b'Galeopsis tetrahit',0,7,1750,3
b'Galinsoga quadriradiata',0,4,1748,8
b'Galium aparine',0,9,1737,14
b'Galium verum',0,10,1740,10
b'Genista sagittalis',0,6,1748,6
b'Geranium dissectum',0,5,1747,8
b'Geranium molle',0,7,1745,8
b'Geranium nodosum',0,4,1750,6
b'Geranium phaeum',0,7,1742,11
b'Geranium pusillum',0,9,1744,7
b'Geranium pyrenaicum',0,8,1749,3
b'Geranium robertianum',0,6,1748,6
b'Geranium rotundifolium',0,4,1750,6
b'Geranium sanguineum',0,7,1750,3
b'Geranium sylvaticum',0,9,1742,9
b'Glechoma hederacea',0,7,1746,7
b'Helianthemum nummularium',0,8,1747,5
b'Helianthus annuus',0,6,1748,6
b'Heliotropium europaeum',0,9,1747,4
b'Helminthotheca echioides',0,3,1752,5
b'Hemerocallis fulva',0,8,1744,8
b'Heracleum sphondylium',0,6,1746,8
b'Hesperis matronalis',0,1,1754,5
b'Hibiscus rosa-sinensis',0,3,1749,8
b'Holcus lanatus',0,5,1746,9
b'Hyoscyamus albus',0,6,1744,10
b'Hyparrhenia hirta',0,5,1749,6
b'Hypericum perforatum',0,3,1748,9
b'Hypochaeris radicata',0,12,1739,9
b'Inula conyza',0,5,1749,6
b'Jacobaea erucifolia',0,12,1743,5
b'Jacobaea vulgaris',0,5,1744,11
b'Jasione montana',0,6,1747,7
b'Juglans regia',0,4,1750,6
b'Juncus effusus',0,8,1746,6
b'Knautia arvensis',0,4,1747,9
b'Lactuca serriola',0,4,1749,7
b'Lactuca viminea',0,2,1757,1
b'Lagurus ovatus',0,7,1751,2
b'Lamium album',0,11,1743,6
b'Lamium maculatum',0,8,1745,7
b'Lamium purpureum',0,4,1753,3
b'Lantana camara',0,5,1752,3
b'Lapsana communis',0,8,1747,5
b'Lathyrus cicera',0,4,1751,5
b'Lathyrus pratensis',0,8,1747,5
b'Legousia speculum-veneris',0,5,1749,6
b'Leucanthemum vulgare',0,3,1753,4
b'Loncomelos pyrenaicus',0,1,1749,10
b'Lonicera periclymenum',0,4,1749,7
b'Lotus maritimus',0,6,1749,5
b'Lunaria annua',0,7,1748,5
b'Luzula campestris',0,3,1753,4
b'Lycopsis arvensis',0,7,1748,5
b'Lycopus europaeus',0,7,1749,4
b'Lysimachia arvensis',0,2,1747,11
b'Lysimachia vulgaris',0,3,1749,8
b'Malva moschata',0,10,1748,2
b'Malva setigera',0,5,1747,8
b'Matthiola incana',0,0,1752,8
b'Medicago sativa',0,4,1750,6
b'Melilotus albus',0,5,1750,5
b'Mentha arvensis',0,2,1753,5
b'Mentha longifolia',0,11,1745,4
b'Mentha suaveolens',0,4,1752,4
b'Mercurialis perennis',0,5,1749,6
b'Misopates orontium',0,5,1749,6
b'Morus alba',0,6,1751,3
b'Myosotis alpestris',0,4,1750,6
b'Myosotis arvensis',0,8,1748,4
b'Myosoton aquaticum',0,5,1750,5
b'Neottia ovata',0,4,1748,8
b'Nerium oleander',0,10,1741,9
b'Oenothera glazioviana',0,4,1750,6
b'Ononis reclinata',0,4,1749,7
b'Opuntia ficus-indica',0,5,1752,3
b'Origanum vulgare',0,6,1747,7
b'Orobanche minor',0,7,1747,6
b'Oxalis corniculata',0,9,1746,5
b'Pallenis spinosa',0,8,1746,6
b'Papaver rhoeas',0,7,1750,3
b'Papaver somniferum',0,4,1746,10
b'Pardoglossum cheirifolium',0,4,1750,6
b'Pastinaca sativa',0,3,1754,3
b'Paulownia tomentosa',0,4,1749,7
b'Phacelia tanacetifolia',0,5,1751,4
b'Phleum pratense',0,4,1747,9
