Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies cephalonica',0,6,3990,4
b'Acacia dealbata',0,6,3988,6
b'Acer monspessulanum',0,19,3961,20
b'Acer negundo',0,16,3962,22
b'Acer opalus',0,5,3991,4
b'Acer platanoides',0,13,3980,7
b'Achillea ptarmica',0,5,3992,3
b'Aconitum napellus',0,17,3972,11
b'Adonis annua',0,5,3990,5
b'Aegopodium podagraria',0,8,3985,7
b'Aesculus hippocastanum',0,35,3941,24
b'Aethionema saxatile',0,7,3988,5
b'Agave americana',0,7,3985,8
b'Agrimonia eupatoria',0,9,3986,5
b'Ajuga genevensis',0,12,3984,4
b'Ajuga reptans',0,10,3978,12
b'Alcea rosea',0,6,3989,5
b'Allium nigrum',0,6,3984,10
b'Allium polyanthum',0,6,3989,5
b'Allium schoenoprasum',0,7,3989,4
b'Allium triquetrum',0,6,3990,4
b'Allium ursinum',0,5,3986,9
b'Alnus alnobetula',0,8,3987,5
b'Alnus glutinosa',0,6,3986,8
b'Althaea officinalis',0,7,3990,3
b'Ambrosia artemisiifolia',0,9,3986,5
b'Amelanchier ovalis',0,7,3991,2
b'Ammophila arenaria',0,4,3987,9
b'Amorpha fruticosa',0,11,3977,12
b'Anacamptis champagneuxii',0,9,3982,9
b'Anacamptis morio',0,8,3978,14
b'Androsace villosa',0,6,3987,7
b'Anemone alpina',0,12,3977,11
b'Anemone hepatica',0,3,3988,9
b'Anemone pulsatilla',0,7,3982,11
b'Anemone rubra',0,9,3984,7
b'Anemone vernalis',0,4,3991,5
b'Angelica sylvestris',0,6,3989,5
b'Antennaria dioica',0,7,3985,8
b'Anthemis maritima',0,8,3986,6
b'Anthriscus sylvestris',0,8,3986,6
b'Anthyllis montana',0,11,3984,5
b'Anthyllis vulneraria',0,12,3977,11
b'Aphyllanthes monspeliensis',0,6,3985,9
b'Arbutus unedo',0,31,3937,32
b'Arctium minus',0,4,3986,10
b'Aristolochia pistolochia',0,6,3991,3
b'Aristolochia rotunda',0,5,3988,7
b'Armeria arenaria',0,5,3985,10
b'Armeria maritima',0,12,3976,12
b'Artemisia vulgaris',0,3,3993,4
b'Arum italicum',0,9,3983,8
b'Asparagus acutifolius',0,6,3988,6
b'Asphodelus albus',0,7,3987,6
b'Asplenium ceterach',0,4,3989,7
b'Aster alpinus',0,11,3977,12
b'Astragalus monspessulanus',0,7,3988,5
b'Astrantia major',0,9,3981,10
b'Astrantia minor',0,4,3991,5
b'Athyrium filix-femina',0,5,3991,4
b'Bellis perennis',0,26,3942,32
b'Berberis japonica',0,5,3989,6
b'Berteroa incana',0,12,3983,5
b'Beta vulgaris',0,6,3992,2
b'Betula utilis',0,7,3989,4
b'Bistorta officinalis',0,6,3991,3
b'Blackstonia imperfoliata',0,8,3985,7
