Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',0,7,1817,1
b'Abies cephalonica',0,10,1807,8
b'Acacia dealbata',0,5,1816,4
b'Acer campestre',0,7,1810,8
b'Acer monspessulanum',0,5,1814,6
b'Acer negundo',0,6,1808,11
b'Acer opalus',0,5,1813,7
b'Acer platanoides',0,5,1814,6
b'Acer pseudoplatanus',0,6,1813,6
b'Acer saccharinum',0,11,1809,5
b'Achillea millefolium',0,7,1812,6
b'Aconitum lycoctonum',0,6,1812,7
b'Aconitum napellus',0,8,1811,6
b'Adenostyles alliariae',0,8,1813,4
b'Aesculus hippocastanum',0,4,1814,7
b'Agave sisalana',0,9,1809,7
b'Ailanthus altissima',0,4,1817,4
b'Ajuga genevensis',0,6,1817,2
b'Ajuga reptans',0,6,1812,7
b'Albizia julibrissin',0,4,1813,8
b'Alliaria petiolata',0,7,1813,5
b'Allium ursinum',0,7,1811,7
b'Alnus alnobetula',0,4,1815,6
b'Alnus cordata',0,9,1812,4
b'Alnus glutinosa',0,4,1817,4
b'Althaea officinalis',0,7,1813,5
b'Ambrosia artemisiifolia',0,10,1808,7
b'Amelanchier ovalis',0,4,1815,6
b'Amorpha fruticosa',0,8,1812,5
b'Anemone alpina',0,10,1811,4
b'Angelica heterocarpa',0,6,1813,6
b'Angelica sylvestris',0,1,1818,6
b'Anthriscus sylvestris',0,7,1817,1
b'Aphyllanthes monspeliensis',0,5,1814,6
b'Arbutus unedo',0,6,1815,4
b'Artemisia vulgaris',0,3,1818,4
b'Arundo donax',0,8,1811,6
b'Asphodelus albus',0,7,1810,8
b'Asphodelus cerasiferus',0,6,1813,6
b'Asphodelus ramosus',0,3,1817,5
b'Asplenium trichomanes',0,7,1812,6
b'Aster alpinus',0,5,1812,8
b'Atriplex prostrata',0,5,1816,4
b'Bellis perennis',0,4,1817,4
b'Berberis japonica',0,10,1808,7
b'Betula pendula',0,10,1804,11
b'Betula pubescens',0,9,1810,6
b'Betula utilis',0,4,1813,8
b'Brassica napus',0,10,1804,11
b'Broussonetia papyrifera',0,10,1807,8
b'Buddleja davidii',0,4,1816,5
b'Buxus sempervirens',0,12,1807,6
b'Cakile maritima',0,3,1814,8
b'Calluna vulgaris',0,5,1818,2
b'Campanula medium',0,7,1810,8
b'Capsella bursa-pastoris',0,9,1812,4
b'Cardamine pratensis',0,8,1812,5
b'Carduus pycnocephalus',0,6,1811,8
b'Carex riparia',0,5,1815,5
b'Carica papaya',0,7,1811,7
b'Carpinus betulus',0,14,1808,3
b'Castanea sativa',0,6,1813,6
b'Casuarina cunninghamiana',0,4,1815,6
b'Catalpa bignonioides',0,7,1812,6
b'Cedrus atlantica',0,6,1808,11
b'Celtis australis',0,10,1807,8
b'Centaurea corymbosa',0,11,1806,8
b'Ceratonia siliqua',0,5,1815,5
b'Cercis siliquastrum',0,7,1814,4
b'Chondrilla juncea',0,4,1819,2
b'Cirsium arvense',0,6,1813,6
b'Cirsium palustre',0,7,1809,9
b'Cistus albidus',0,3,1817,5
b'Clematis flammula',0,7,1814,4
b'Clematis vitalba',0,6,1810,9
b'Colutea arborescens',0,6,1813,6
b'Cornus mas',0,3,1816,6
b'Cornus sanguinea',0,7,1812,6
b'Coronilla varia',0,6,1809,10
b'Corylus avellana',0,7,1816,2
b'Cotinus coggygria',0,0,1819,6
b'Crataegus azarolus',0,5,1810,10
b'Crataegus germanica',0,3,1815,7
b'Crataegus laevigata',0,5,1818,2
b'Crataegus monogyna',0,2,1820,3
b'Cupressus sempervirens',0,7,1810,8
b'Cydonia oblonga',0,8,1810,7
b'Cypripedium calceolus',0,10,1812,3
b'Cytisus scoparius',0,3,1819,3
b'Dactylorhiza maculata',0,5,1815,5
b'Daphne gnidium',0,6,1811,8
b'Daucus carota',0,4,1812,9
b'Digitalis purpurea',0,8,1811,6
b'Diospyros kaki',0,6,1814,5
b'Diplotaxis erucoides',0,5,1813,7
b'Dittrichia viscosa',0,6,1815,4
b'Echium vulgare',0,5,1811,9
b'Elaeagnus angustifolia',0,3,1819,3
b'Epilobium angustifolium',0,3,1815,7
b'Epipactis helleborine',0,6,1811,8
b'Equisetum telmateia',0,2,1817,6
b'Erica arborea',0,6,1813,6
b'Erigeron annuus',0,8,1814,3
b'Erigeron canadensis',0,3,1814,8
b'Erigeron sumatrensis',0,6,1810,9
b'Eriobotrya japonica',0,7,1812,6
b'Eupatorium cannabinum',0,1,1821,3
b'Euphorbia amygdaloides',0,1,1821,3
b'Euphorbia characias',0,2,1819,4
b'Euphorbia dendroides',0,5,1812,8
b'Euphorbia paralias',0,8,1814,3
b'Euphorbia spinosa',0,7,1813,5
b'Fagus sylvatica',0,4,1815,6
b'Ferula communis',0,7,1813,5
b'Ficus carica',0,5,1814,6
b'Filipendula ulmaria',0,5,1811,9
b'Foeniculum vulgare',0,5,1816,4
b'Fraxinus angustifolia',0,9,1813,3
b'Fraxinus excelsior',0,12,1809,4
b'Fraxinus ornus',0,10,1808,7
b'Galactites tomentosus',0,9,1808,8
b'Galium verum',0,8,1811,6
b'Genista pilosa',0,9,1807,9
b'Genista tinctoria',0,5,1816,4
b'Gentiana lutea',0,7,1811,7
b'Geranium phaeum',0,4,1817,4
b'Ginkgo biloba',0,8,1814,3
b'Gleditsia triacanthos',0,4,1814,7
b'Globularia alypum',0,9,1811,5
b'Hedera helix',0,3,1811,11
b'Himantoglossum hircinum',0,4,1813,8
b'Humulus lupulus',0,2,1818,5
b'Hyparrhenia hirta',0,5,1817,3
b'Ilex aquifolium',0,6,1815,4
b'Iris foetidissima',0,3,1813,9
b'Isatis tinctoria',0,4,1819,2
b'Jacobaea vulgaris',0,9,1812,4
b'Jasminum fruticans',0,8,1810,7
b'Juglans nigra',0,2,1815,8
b'Juglans regia',0,4,1816,5
b'Juniperus communis',0,5,1811,9
b'Juniperus oxycedrus',0,3,1816,6
b'Juniperus phoenicea',0,4,1818,3
b'Juniperus sabina',0,3,1815,7
b'Kerria japonica',0,7,1813,5
b'Koelreuteria paniculata',0,3,1816,6
b'Laburnum anagyroides',0,5,1812,8
b'Lactuca plumieri',0,7,1813,5
b'Lactuca serriola',0,3,1818,4
b'Lapsana communis',0,4,1813,8
b'Larix decidua',0,13,1800,12
b'Laurus nobilis',0,6,1814,5
b'Lavandula stoechas',0,6,1810,9
b'Ligustrum vulgare',0,10,1807,8
b'Limodorum abortivum',0,4,1818,3
b'Liquidambar styraciflua',0,4,1813,8
b'Liriodendron tulipifera',0,6,1811,8
b'Loncomelos pyrenaicus',0,9,1812,4
b'Lonicera etrusca',0,6,1814,5
b'Lycopus europaeus',0,9,1810,6
b'Lysimachia vulgaris',0,6,1813,6
b'Lythrum salicaria',0,9,1810,6
b'Magnolia grandiflora',0,9,1810,6
b'Malus domestica',1,5,1816,3
b'Malus sylvestris',0,10,1813,2
b'Maytenus canariensis',0,6,1815,4
b'Medicago arborea',0,7,1815,3
b'Melia azedarach',0,8,1809,8
b'Melilotus albus',0,11,1809,5
b'Mentha arvensis',0,8,1813,4
b'Mentha suaveolens',0,5,1818,2
b'Morus alba',0,8,1811,6
b'Myrtus communis',0,1,1815,9
b'Nasturtium officinale',0,8,1811,6
b'Nerium oleander',0,4,1813,8
b'Oenanthe crocata',0,6,1814,5
b'Oenothera glazioviana',0,3,1811,11
b'Olea europaea',0,3,1818,4
b'Onopordum acanthium',0,5,1812,8
b'Ophrys insectifera',0,3,1817,5
b'Opuntia ficus-indica',0,9,1809,7
b'Osmunda regalis',0,7,1812,6
b'Ostrya carpinifolia',0,6,1812,7
b'Paliurus spina-christi',0,7,1813,5
b'Parietaria judaica',0,6,1814,5
b'Parthenocissus tricuspidata',0,1,1817,7
b'Passiflora caerulea',0,7,1813,5
b'Pastinaca sativa',0,7,1813,5
b'Paulownia tomentosa',0,8,1809,8
b'Perovskia atriplicifolia',0,4,1812,9
b'Philadelphus coronarius',0,6,1813,6
b'Phillyrea angustifolia',0,4,1819,2
b'Phyteuma spicatum',0,3,1814,8
b'Picris hieracioides',0,7,1811,7
b'Pinus brutia',0,9,1809,7
b'Pinus cembra',0,13,1805,7
b'Pinus halepensis',0,6,1818,1
b'Pinus mugo',0,11,1811,3
b'Pinus nigra',0,5,1814,6
b'Pinus pinaster',0,7,1812,6
b'Pinus pinea',0,4,1814,7
b'Pinus sylvestris',0,7,1811,7
b'Pistacia lentiscus',1,5,1812,7
b'Pistacia terebinthus',0,5,1810,10
b'Pittosporum tenuifolium',0,5,1815,5
b'Pittosporum tobira',0,8,1811,6
b'Platanus orientalis',0,6,1809,10
b'Platanus x',0,6,1814,5
b'Populus alba',0,6,1816,3
b'Populus nigra',0,9,1807,9
b'Populus tremula',0,4,1815,6
b'Populus trichocarpa',0,5,1814,6
b'Portulaca oleracea',0,1,1815,9
b'Potentilla recta',0,7,1810,8
b'Prunus avium',0,12,1802,11
b'Prunus cerasifera',1,5,1817,2
b'Prunus dulcis',0,3,1816,6
b'Prunus laurocerasus',0,6,1808,11
b'Prunus mahaleb',0,5,1815,5
b'Prunus padus',0,4,1812,9
b'Prunus serotina',0,1,1814,10
b'Prunus serrulata',0,3,1818,4
b'Prunus spinosa',0,4,1817,4
b'Pseudoturritis turrita',0,6,1814,5
b'Pteridium aquilinum',0,6,1810,9
b'Pterocarya fraxinifolia',0,7,1813,5
b'Punica granatum',0,5,1816,4
b'Pyracantha coccinea',0,6,1816,3
b'Pyrus communis',0,11,1806,8
b'Quercus cerris',0,2,1820,3
b'Quercus coccifera',0,5,1811,9
b'Quercus ilex',0,7,1805,13
b'Quercus palustris',0,3,1816,6
b'Quercus petraea',0,5,1815,5
b'Quercus pubescens',0,5,1816,4
b'Quercus robur',0,9,1812,4
b'Quercus rubra',0,3,1817,5
b'Quercus suber',0,5,1813,7
b'Ranunculus trichophyllus',0,1,1818,6
b'Reynoutria japonica',0,8,1814,3
b'Rhamnus alaternus',0,5,1812,8
b'Rhamnus alpina',1,7,1811,6
b'Rhamnus cathartica',0,4,1814,7
b'Rhamnus pumila',0,11,1802,12
b'Rhus typhina',0,7,1812,6
b'Robinia pseudoacacia',0,6,1811,8
b'Rosa canina',0,10,1809,6
b'Rosa pendulina',0,4,1816,5
b'Rosmarinus officinalis',0,4,1817,4
b'Rumex crispus',0,4,1816,5
b'Salix alba',0,16,1802,7
b'Salix babylonica',0,5,1814,6
b'Salix caprea',0,6,1813,6
b'Salix cinerea',0,9,1811,5
b'Salix fragilis',0,4,1810,11
b'Salvia pratensis',0,7,1808,10
b'Sambucus ebulus',0,4,1815,6
b'Sambucus nigra',1,6,1816,2
b'Saponaria officinalis',0,0,1820,5
b'Satureja montana',0,4,1817,4
b'Scabiosa columbaria',0,6,1810,9
b'Scolymus hispanicus',1,8,1812,4
b'Scrophularia auriculata',0,3,1818,4
b'Sedum sediforme',0,4,1813,8
b'Senecio ovatus',0,4,1817,4
b'Silene nutans',0,8,1811,6
b'Silybum marianum',0,5,1813,7
b'Solidago virgaurea',0,3,1816,6
b'Sophora japonica',0,9,1808,8
b'Sorbus aria',0,6,1814,5
b'Sorbus aucuparia',0,8,1811,6
b'Sorbus domestica',0,8,1808,9
b'Sorbus intermedia',0,8,1813,4
b'Sorbus torminalis',0,7,1814,4
b'Syringa vulgaris',0,5,1815,5
b'Tanacetum vulgare',0,4,1816,5
b'Taxus baccata',0,7,1815,3
b'Teucrium flavum',0,4,1816,5
b'Teucrium scorodonia',0,7,1815,3
b'Tilia cordata',0,5,1815,5
b'Tilia dasystyla',0,7,1812,6
b'Tilia platyphyllos',0,1,1816,8
b'Tripolium pannonicum',0,3,1816,6
b'Ulex europaeus',0,4,1819,2
b'Ulmus minor',0,7,1814,4
b'Urtica dioica',0,6,1815,4
b'Valeriana officinalis',0,7,1811,7
b'Veratrum album',0,6,1812,7
b'Verbascum boerhavii',0,4,1815,6
b'Verbascum lychnitis',0,8,1809,8
b'Verbascum nigrum',0,4,1814,7
b'Verbascum pulverulentum',0,4,1816,5
b'Verbascum sinuatum',0,6,1816,3
b'Verbascum thapsus',0,18,1799,8
b'Verbena officinalis',0,6,1811,8
b'Veronica chamaedrys',0,3,1815,7
b'Viburnum lantana',0,5,1813,7
b'Viburnum opulus',0,10,1806,9
