Class,True Positives,False Positives,True Negatives,False Negatives
b'Acanthus mollis',0,4,4123,6
b'Acer campestre',0,10,4110,13
b'Acer monspessulanum',0,6,4121,6
b'Acer negundo',0,23,4095,15
b'Acer opalus',0,11,4110,12
b'Acer palmatum',0,15,4114,4
b'Acer platanoides',0,4,4123,6
b'Acer pseudoplatanus',0,10,4110,13
b'Acer saccharinum',0,6,4119,8
b'Achillea millefolium',0,7,4113,13
b'Aconitum lycoctonum',0,5,4119,9
b'Adenostyles alliariae',0,9,4121,3
b'Aegopodium podagraria',0,4,4123,6
b'Aesculus hippocastanum',0,9,4108,16
b'Agave sisalana',0,12,4115,6
b'Agrimonia eupatoria',0,6,4119,8
b'Agrostemma githago',0,4,4123,6
b'Ailanthus altissima',0,9,4114,10
b'Ajuga genevensis',0,4,4124,5
b'Ajuga iva',0,3,4125,5
b'Ajuga reptans',0,3,4125,5
b'Albizia julibrissin',0,10,4117,6
b'Alcea rosea',0,8,4120,5
b'Alliaria petiolata',0,6,4121,6
b'Allium ursinum',0,7,4121,5
b'Alnus alnobetula',0,4,4127,2
b'Alnus cordata',0,8,4119,6
b'Alnus glutinosa',0,8,4120,5
b'Althaea cannabina',0,5,4122,6
b'Althaea officinalis',0,6,4124,3
b'Amaranthus deflexus',0,8,4114,11
b'Amelanchier ovalis',0,6,4124,3
b'Amorpha fruticosa',0,7,4120,6
b'Anarrhinum bellidifolium',0,5,4122,6
b'Anemone alpina',0,7,4119,7
b'Anemone hepatica',0,5,4127,1
b'Anemone nemorosa',0,10,4115,8
b'Anemone ranunculoides',0,5,4121,7
b'Anemone vernalis',0,7,4121,5
b'Angelica sylvestris',0,2,4127,4
b'Antennaria dioica',0,4,4123,6
b'Anthericum liliago',0,8,4121,4
b'Anthriscus sylvestris',0,8,4122,3
b'Anthyllis vulneraria',0,4,4125,4
b'Antirrhinum majus',0,10,4117,6
b'Aquilegia vulgaris',0,4,4126,3
b'Arabidopsis thaliana',0,11,4114,8
b'Arbutus unedo',0,6,4124,3
b'Arctium lappa',0,7,4121,5
b'Arctium minus',0,10,4117,6
b'Argyrolobium zanonii',0,3,4124,6
b'Aristolochia clematitis',0,9,4115,9
b'Aristolochia pistolochia',0,4,4124,5
b'Aristolochia rotunda',0,4,4123,6
b'Arnica montana',0,2,4129,2
b'Artemisia vulgaris',0,7,4119,7
b'Arum italicum',0,10,4113,10
b'Arum maculatum',0,10,4119,4
