Class,True Positives,False Positives,True Negatives,False Negatives
b'Acer campestre',0,6,881,6
b'Acer negundo',0,7,880,6
b'Aesculus hippocastanum',0,6,882,5
b'Ailanthus altissima',1,7,877,8
b'Alcea rosea',0,5,878,10
b'Allium schoenoprasum',0,4,881,8
b'Anacyclus clavatus',0,8,880,5
b'Androsace villosa',0,8,882,3
b'Andryala integrifolia',0,4,882,7
b'Anemone alpina',0,6,885,2
b'Anemone rubra',0,3,884,6
b'Aquilegia vulgaris',0,5,884,4
b'Aristolochia clematitis',0,8,879,6
b'Armeria arenaria',0,7,878,8
b'Asparagus acutifolius',0,4,886,3
b'Astrantia minor',0,5,883,5
b'Bellis perennis',0,8,880,5
b'Borago officinalis',1,7,875,10
b'Brassica napus',0,5,884,4
b'Cakile maritima',0,7,878,8
b'Calendula arvensis',0,3,884,6
b'Calendula officinalis',0,8,880,5
b'Caltha palustris',0,8,882,3
b'Campanula medium',0,3,885,5
b'Campanula rhomboidalis',0,5,881,7
b'Capparis spinosa',0,8,877,8
b'Cardamine amara',0,4,878,11
b'Cardamine pratensis',0,7,880,6
b'Cichorium intybus',0,6,882,5
b'Cistus salviifolius',0,4,880,9
b'Convallaria majalis',0,4,883,6
b'Convolvulus arvensis',0,2,889,2
b'Cornus mas',0,7,884,2
b'Coronilla glauca',0,7,880,6
b'Corydalis solida',0,6,880,7
b'Crataegus monogyna',0,6,885,2
b'Crithmum maritimum',0,9,877,7
b'Cymbalaria muralis',0,1,886,6
b'Datura stramonium',0,11,875,7
b'Dicentra spectabilis',0,12,877,4
b'Diplotaxis erucoides',0,1,885,7
b'Diplotaxis tenuifolia',0,5,882,6
b'Dorycnium pentaphyllum',0,3,882,8
b'Erigeron annuus',0,7,884,2
b'Erigeron karvinskianus',1,7,881,4
b'Erodium foetidum',0,6,883,4
b'Euonymus europaeus',0,6,881,6
b'Euphorbia paralias',0,6,879,8
b'Euphorbia segetalis',0,5,879,9
b'Ficus carica',0,9,878,6
b'Fraxinus angustifolia',0,7,874,12
b'Fraxinus excelsior',1,6,882,4
b'Fraxinus ornus',0,7,881,5
b'Gentiana alpina',0,7,881,5
b'Geranium columbinum',0,4,884,5
b'Geranium molle',0,4,881,8
b'Geranium nodosum',0,10,879,4
b'Geranium pyrenaicum',0,5,884,4
b'Geranium rotundifolium',0,8,878,7
b'Ginkgo biloba',0,7,878,8
b'Gleditsia triacanthos',0,11,878,4
b'Helianthemum apenninum',0,7,882,4
b'Helianthus annuus',0,5,883,5
b'Heliotropium europaeum',0,7,880,6
b'Heracleum sphondylium',0,6,876,11
b'Hypochaeris radicata',0,3,886,4
b'Iris lutescens',0,6,884,3
b'Iris pseudacorus',0,4,886,3
b'Juglans nigra',0,2,883,8
b'Juglans regia',0,4,883,6
b'Koelreuteria paniculata',0,3,885,5
b'Lamium galeobdolon',0,8,875,10
b'Lamium maculatum',0,10,878,5
b'Lathyrus pratensis',0,4,879,10
b'Lathyrus sylvestris',1,5,882,5
b'Linaria repens',0,6,882,5
b'Linum narbonense',0,3,885,5
b'Linum suffruticosum',0,5,884,4
b'Liquidambar styraciflua',0,8,872,13
b'Liriodendron tulipifera',0,12,878,3
b'Lithospermum officinale',0,8,882,3
b'Lobularia maritima',0,4,883,6
b'Lonicera implexa',1,4,883,5
b'Lotus corniculatus',0,6,880,7
b'Lunaria annua',0,7,884,2
b'Lycopsis arvensis',1,1,883,8
b'Lysimachia nemorum',0,6,881,6
b'Magnolia grandiflora',0,2,881,10
b'Malva moschata',0,8,878,7
b'Malva sylvestris',0,7,878,8
b'Meconopsis cambrica',0,6,878,9
b'Melia azedarach',0,4,884,5
b'Melilotus albus',0,3,885,5
b'Melissa officinalis',0,8,882,3
b'Muscari neglectum',0,10,877,6
b'Myosotis scorpioides',0,2,887,4
b'Myosoton aquaticum',0,7,879,7
b'Narcissus dubius',0,4,882,7
b'Oenothera glazioviana',0,7,880,6
b'Oxalis articulata',0,4,884,5
b'Paliurus spina-christi',0,5,882,6
b'Papaver somniferum',0,7,880,6
b'Parnassia palustris',0,6,884,3
b'Passiflora caerulea',0,7,878,8
b'Pinus halepensis',0,3,884,6
b'Pistacia lentiscus',0,15,863,15
b'Pistacia terebinthus',0,3,884,6
b'Platanus x',0,6,882,5
b'Polygala vulgaris',0,9,881,3
b'Portulaca oleracea',1,3,887,2
b'Potentilla erecta',0,4,885,4
b'Primula veris',0,6,882,5
b'Prunus laurocerasus',0,9,873,11
b'Pterocarya fraxinifolia',0,8,883,2
b'Pulicaria dysenterica',0,4,884,5
b'Quercus cerris',0,5,883,5
b'Quercus petraea',0,7,883,3
b'Quercus pubescens',0,6,881,6
b'Quercus rubra',0,2,886,5
b'Ranunculus repens',0,5,881,7
b'Rhus coriaria',0,9,880,4
b'Rhus typhina',0,5,882,6
b'Robinia pseudoacacia',0,7,880,6
b'Rosa canina',0,8,879,6
b'Rosmarinus officinalis',0,10,876,7
b'Sambucus ebulus',0,1,888,4
b'Sambucus nigra',1,5,883,4
b'Saxifraga granulata',0,5,883,5
b'Saxifraga tridactylites',0,6,876,11
b'Silene baccifera',0,9,876,8
b'Silene uniflora',0,5,882,6
b'Sinapis arvensis',0,4,879,10
b'Solanum nigrum',0,8,882,3
b'Sophora japonica',1,3,885,4
b'Sorbus domestica',1,4,885,3
b'Stellaria media',0,7,878,8
b'Thymus serpyllum',0,6,884,3
b'Trifolium resupinatum',0,11,875,7
b'Tripleurospermum inodorum',0,6,879,8
b'Ulmus minor',0,6,877,10
b'Veratrum album',0,8,878,7
b'Verbascum sinuatum',0,5,878,10
b'Veronica chamaedrys',0,5,881,7
b'Veronica persica',0,6,883,4
b'Vicia sativa',0,7,875,11
b'Viola lutea',0,4,884,5
b'Viola odorata',0,8,881,4
b'Vitex agnus-castus',0,6,882,5
