Class,True Positives,False Positives,True Negatives,False Negatives
b'Daphne laureola',0,5,3531,6
b'Daphne mezereum',0,4,3529,9
b'Dianthus armeria',0,8,3526,8
b'Dianthus carthusianorum',0,11,3528,3
b'Dicentra spectabilis',0,3,3536,3
b'Digitalis purpurea',0,7,3525,10
b'Dioscorea communis',0,7,3531,4
b'Diospyros kaki',0,6,3530,6
b'Diplotaxis erucoides',0,9,3527,6
b'Diplotaxis tenuifolia',0,10,3530,2
b'Dittrichia viscosa',0,5,3535,2
b'Dorycnium pentaphyllum',0,3,3536,3
b'Draba verna',0,3,3531,8
b'Dryas octopetala',0,8,3529,5
b'Echium vulgare',0,7,3530,5
b'Ephedra distachya',0,3,3535,4
b'Epilobium angustifolium',0,8,3528,6
b'Epilobium dodonaei',0,8,3530,4
b'Epilobium hirsutum',0,5,3532,5
b'Epilobium tetragonum',0,7,3528,7
b'Epipactis atrorubens',0,5,3532,5
b'Epipactis helleborine',0,5,3530,7
b'Eranthis hyemalis',0,8,3529,5
b'Erica cinerea',0,5,3536,1
b'Erica tetralix',0,6,3530,6
b'Erica vagans',0,8,3527,7
b'Erigeron annuus',0,5,3534,3
b'Erigeron karvinskianus',0,11,3526,5
b'Erinus alpinus',0,4,3534,4
b'Eriobotrya japonica',0,3,3530,9
b'Erodium cicutarium',0,6,3529,7
b'Erodium foetidum',0,3,3533,6
b'Erodium malacoides',0,4,3535,3
b'Erysimum cheiri',0,7,3530,5
b'Eschscholzia californica',0,3,3533,6
b'Euonymus europaeus',0,5,3532,5
b'Euonymus latifolius',0,8,3527,7
b'Euphorbia characias',0,5,3534,3
b'Euphorbia cyparissias',0,5,3527,10
b'Euphorbia flavicoma',0,5,3529,8
b'Euphorbia helioscopia',0,9,3530,3
b'Euphorbia nicaeensis',0,6,3533,3
b'Euphorbia paralias',0,3,3534,5
b'Euphorbia segetalis',0,7,3528,7
b'Euphorbia serrata',0,7,3530,5
b'Fatsia japonica',0,4,3528,10
b'Feijoa sellowiana',0,9,3528,5
b'Ficaria verna',0,9,3528,5
b'Filipendula vulgaris',0,3,3534,5
b'Fragaria vesca',0,6,3531,5
b'Frangula dodonei',0,7,3529,6
b'Fraxinus angustifolia',0,4,3532,6
b'Fraxinus excelsior',0,4,3535,3
b'Fritillaria meleagris',0,10,3526,6
b'Fritillaria pyrenaica',0,4,3530,8
b'Fumaria capreolata',0,4,3533,5
b'Galanthus nivalis',0,7,3531,4
b'Galeopsis tetrahit',0,9,3528,5
b'Galinsoga quadriradiata',0,6,3527,9
b'Galium odoratum',0,3,3534,5
b'Galium verum',0,2,3536,4
b'Genista pilosa',0,7,3526,9
b'Genista sagittalis',0,7,3530,5
b'Genista tinctoria',0,8,3529,5
b'Gentiana acaulis',0,7,3528,7
b'Gentiana cruciata',0,6,3532,4
b'Gentiana nivalis',0,9,3524,9
